SC_KNOWL,UND_SCSCI,SC_DZ,SC_POET,SC_PS,SC_SS,SC_UNI,SCINFO_30D,MDHINFO_30D,SC_INT,MDH_INT,CONF_NGO,CONF_HOSP,TRU_NEIGHB,TRU_SCI,TRU_JO,TRU_HCW,TRU_NGOPPL,TRU_TH,TRU_SC,TRUSCI_ACCINFO,TRUSCIUNI_BEN,TRUSCIUNI_HON,TRUSCICOM_BEN,TRUSCICOM_HON,SCI_BENPPL,SCI_BENRESP,SCTECH_IMPRLIFE,SCTECH_JOBS,TRU_PPLADV,TRU_HCWADV,VAC_LVL,TRUSCI_IDX,TRUSCI_LVL,VW_SC,AGE,AGE_CAT,GEN,EDU,LIV_AR,RGN,SUBJ_HHI,CTRY_INC,EMP_STAT
2,1,1,2,1,1,1,1,1,1,1,1,1,3,1,3,1,2,2,1,1,2,2,3,3,2,1,1,2,3,1,3,3.2,2,2,20,1,1,2,2,7,1,4,6
3,2,1,2,1,1,2,2,2,1,1,2,98,3,3,4,3,3,3,98,98,98,3,98,3,3,1,1,1,3,1,3,0.0,99,2,78,3,2,2,2,7,1,4,3
2,1,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,4,2,2,2,1,2,3,2,3,3.0,2,3,67,3,1,2,2,7,3,4,6
3,2,1,2,1,2,1,2,2,2,1,98,1,1,2,98,1,3,2,98,2,2,98,2,98,2,1,1,2,3,1,2,3.0,2,2,26,1,1,3,2,7,1,4,1
1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,2,2,1,1,1,1,3,1,3,3.8,3,1,36,2,1,3,2,7,1,4,1
3,1,1,2,1,2,1,98,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,97,4,1,1.0,1,4,51,3,1,3,2,7,3,4,6
2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,3,2,2,3,2,2,2,3,3,3,2,1,1,2,3,3,3,2.6,2,2,63,3,1,2,1,7,3,4,6
3,2,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,1,98,1,1,1,2,1,2,1,1,1,2,3,2,3,3.8,3,1,18,1,1,3,2,7,1,4,4
1,1,1,2,1,1,1,1,1,1,2,98,1,2,1,2,1,1,2,1,1,2,98,2,2,1,1,1,1,3,1,3,3.5,2,1,24,1,1,2,2,7,2,4,1
3,1,1,2,1,1,2,2,2,1,1,98,1,2,1,98,1,2,2,2,1,1,98,1,98,1,1,1,1,3,2,2,4.0,3,1,52,3,1,2,1,7,2,4,6
1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,4,3,1,1,1,2,3,1,3,3.0,2,1,57,3,1,3,2,7,1,4,1
4,2,1,2,1,2,2,2,2,2,1,2,1,98,1,2,2,98,1,98,2,98,98,98,3,2,2,1,1,3,98,3,0.0,99,3,56,3,2,1,2,7,3,4,6
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,3,1,3,3.8,3,1,24,1,2,2,1,7,1,4,4
2,1,1,98,1,1,1,1,1,1,1,99,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,3,1,3,3.6,3,1,71,3,2,3,1,7,1,4,3
1,1,1,1,1,1,1,1,1,1,1,1,2,98,3,4,3,3,1,1,1,1,3,4,4,1,1,1,1,3,3,3,2.6,2,1,23,1,1,2,2,7,3,4,4
2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,3,1,2,2,1,2,1,3,2,2,1,1,1,1,3,2,3,3.0,2,1,21,1,1,2,2,7,2,4,1
2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,4,2,4,3,2,3,3,98,98,4,2,1,2,2,3,98,3,2.3333333333333304,1,2,20,1,1,2,1,7,1,4,1
2,1,1,2,1,1,1,2,1,1,1,98,1,1,2,3,2,2,2,2,2,98,3,2,3,2,1,1,2,3,2,3,2.75,2,2,67,3,1,3,1,7,1,4,3
3,1,1,2,1,1,1,2,1,1,1,1,2,4,2,3,2,2,3,1,2,2,3,3,98,1,1,1,2,3,1,3,2.6,2,1,41,2,1,3,2,7,1,4,1
1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,1,1,2,2,3,2,1,1,1,1,3,1,3,3.0,2,1,34,2,1,2,2,7,1,4,1
1,99,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,5,2,3,3.8,3,1,64,3,1,2,2,7,3,4,3
1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,4,2,2,1,2,2,3,2,3,1,1,2,2,97,3,3,2.8,2,1,75,3,1,2,1,7,2,4,6
2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,4,4,98,98,2,2,4,4,3,2,2,2,3,1,3,2.5,2,4,62,3,1,2,1,7,3,4,6
1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,3,1,3,3.6,3,2,19,1,2,2,1,7,1,4,5
1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,4,1,1,2,2,3,2,2,1,1,2,3,1,3,3.2,2,2,40,2,1,3,2,7,3,4,1
2,1,1,2,1,1,1,1,2,1,1,1,1,98,1,3,2,2,2,1,1,2,2,3,3,1,1,1,2,3,2,3,3.2,2,1,38,2,1,3,2,7,1,4,1
